image_id,image_filename,file_path,true_label,generator_model,art_style,source_folder
real_0001,0_055239.png,images/real/classical_art/0_055239.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0002,0_025913.png,images/real/classical_art/0_025913.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0003,0_025205.png,images/real/classical_art/0_025205.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0004,0_027254.png,images/real/classical_art/0_027254.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0005,0_027007.png,images/real/classical_art/0_027007.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0006,0_026829.png,images/real/classical_art/0_026829.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0007,0_026144.png,images/real/classical_art/0_026144.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0008,0_025840.png,images/real/classical_art/0_025840.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0009,0_055544.png,images/real/classical_art/0_055544.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0010,0_029468.png,images/real/classical_art/0_029468.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0011,0_025713.png,images/real/classical_art/0_025713.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0012,0_029838.png,images/real/classical_art/0_029838.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0013,0_028457.png,images/real/classical_art/0_028457.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0014,0_025261.png,images/real/classical_art/0_025261.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0015,0_025245.png,images/real/classical_art/0_025245.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0016,0_025768.png,images/real/classical_art/0_025768.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0017,0_026792.png,images/real/classical_art/0_026792.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0018,0_026906.png,images/real/classical_art/0_026906.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0019,0_029140.png,images/real/classical_art/0_029140.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0020,0_029932.png,images/real/classical_art/0_029932.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0021,0_025218.png,images/real/classical_art/0_025218.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0022,0_029598.png,images/real/classical_art/0_029598.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0023,0_026629.png,images/real/classical_art/0_026629.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0024,0_055866.png,images/real/classical_art/0_055866.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0025,0_055324.png,images/real/classical_art/0_055324.png,real,human,realism,data\raw\art_dataset\real\classical_art
real_0026,0_058746.png,images/real/classical_art/0_058746.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0027,0_044465.png,images/real/classical_art/0_044465.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0028,0_043437.png,images/real/classical_art/0_043437.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0029,0_041806.png,images/real/classical_art/0_041806.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0030,0_043680.png,images/real/classical_art/0_043680.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0031,0_044828.png,images/real/classical_art/0_044828.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0032,0_042279.png,images/real/classical_art/0_042279.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0033,0_040054.png,images/real/classical_art/0_040054.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0034,0_041308.png,images/real/classical_art/0_041308.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0035,0_058720.png,images/real/classical_art/0_058720.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0036,0_043463.png,images/real/classical_art/0_043463.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0037,0_042788.png,images/real/classical_art/0_042788.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0038,0_042277.png,images/real/classical_art/0_042277.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0039,0_041274.png,images/real/classical_art/0_041274.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0040,0_041764.png,images/real/classical_art/0_041764.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
real_0041,0_042758.png,images/real/classical_art/0_042758.png,real,human,surrealism,data\raw\art_dataset\real\classical_art
