image_id,image_filename,true_label,generator_model,art_style,subfolder,original_filename
img_000001,img_000001.jpg,human,human,post_impressionism,classical_art,0_021648.png
img_000002,img_000002.jpg,human,human,illustrations,illustrations,0_067311.png
img_000003,img_000003.jpg,ai,midjourney,Midjourney_art,midjourney,1_156299.png
img_000004,img_000004.jpg,human,human,expressionism,classical_art,0_012445.png
img_000005,img_000005.jpg,human,human,art_nouveau,classical_art,0_004882.png
img_000006,img_000006.jpg,ai,dreamstudio,DreamStudio_art,dreamstudio,1_142215.png
img_000007,img_000007.jpg,human,human,illustrations,illustrations,0_066152.png
img_000008,img_000008.jpg,ai,original_ldm,realism,original_ldm,1_026997.png
img_000009,img_000009.jpg,human,human,realism,classical_art,0_029598.png
img_000010,img_000010.jpg,human,human,expressionism,classical_art,0_014003.png
img_000011,img_000011.jpg,ai,stable_diffusion,post_impressionism,stable_diffusion,1_073257.png
img_000012,img_000012.jpg,human,human,illustrations,illustrations,0_065252.png
img_000013,img_000013.jpg,ai,dalle,DALL-E_pixiv,dalle,1_131160.png
img_000014,img_000014.jpg,human,human,illustrations,illustrations,0_066467.png
img_000015,img_000015.jpg,ai,midjourney,Midjourney_pixiv,midjourney,1_168318.png
img_000016,img_000016.jpg,human,human,art_nouveau,classical_art,0_003153.png
img_000017,img_000017.jpg,ai,dalle,DALL-E_pixiv,dalle,1_131017.png
img_000018,img_000018.jpg,human,human,illustrations,illustrations,0_066973.png
img_000019,img_000019.jpg,ai,dalle,DALL-E_art,dalle,1_133835.png
img_000020,img_000020.jpg,ai,midjourney,Midjourney_art,midjourney,1_164170.png
img_000021,img_000021.jpg,ai,original_ldm,renaissance,original_ldm,1_035075.png
img_000022,img_000022.jpg,ai,original_ldm,expressionism,original_ldm,1_012022.png
img_000023,img_000023.jpg,ai,starryai,StarryAI_pixiv,starryai,1_177617.png
img_000024,img_000024.jpg,ai,starryai,StarryAI_pixiv,starryai,1_182231.png
img_000025,img_000025.jpg,human,human,illustrations,illustrations,0_065401.png
img_000026,img_000026.jpg,ai,dreamstudio,DreamStudio_art,dreamstudio,1_149252.png
img_000027,img_000027.jpg,ai,starryai,StarryAI_art,starryai,1_178329.png
img_000028,img_000028.jpg,human,human,impressionism,classical_art,0_053150.png
img_000029,img_000029.jpg,ai,stable_diffusion,realism,stable_diffusion,1_083722.png
img_000030,img_000030.jpg,ai,midjourney,Midjourney_pixiv,midjourney,1_162605.png
img_000031,img_000031.jpg,human,human,illustrations,illustrations,0_065662.png
img_000032,img_000032.jpg,ai,original_ldm,renaissance,original_ldm,1_033535.png
img_000033,img_000033.jpg,human,human,general_art,general_art,0_061950.png
img_000034,img_000034.jpg,ai,midjourney,Midjourney_art,midjourney,1_163743.png
img_000035,img_000035.jpg,human,human,general_art,general_art,0_061349.png
img_000036,img_000036.jpg,human,human,illustrations,illustrations,0_066751.png
img_000037,img_000037.jpg,ai,stable_diffusion,renaissance,stable_diffusion,1_121215.png
img_000038,img_000038.jpg,ai,dreamstudio,DreamStudio_art,dreamstudio,1_151379.png
img_000039,img_000039.jpg,human,human,surrealism,classical_art,0_041308.png
img_000040,img_000040.jpg,ai,dalle,DALL-E_art,dalle,1_127057.png
img_000041,img_000041.jpg,human,human,realism,classical_art,0_027254.png
img_000042,img_000042.jpg,human,human,romanticism,classical_art,0_035027.png
img_000043,img_000043.jpg,human,human,illustrations,illustrations,0_067033.png
img_000044,img_000044.jpg,human,human,post_impressionism,classical_art,0_022554.png
img_000045,img_000045.jpg,ai,starryai,StarryAI_pixiv,starryai,1_175235.png
img_000046,img_000046.jpg,human,human,romanticism,classical_art,0_037060.png
img_000047,img_000047.jpg,human,human,impressionism,classical_art,0_017371.png
img_000048,img_000048.jpg,ai,midjourney,Midjourney_pixiv,midjourney,1_161943.png
img_000049,img_000049.jpg,ai,dreamstudio,DreamStudio_art,dreamstudio,1_140433.png
img_000050,img_000050.jpg,human,human,realism,classical_art,0_025768.png
img_000051,img_000051.jpg,ai,midjourney,Midjourney_art,midjourney,1_157296.png
